title,videoId,url,date,category
ספירת העומר - 16 ימים לעומר - גבורה שבתפארת,eTZiogTDUJ0,https://www.youtube.com/watch?v=eTZiogTDUJ0,2024-05-12,שיעורים כלליים
ספירת העומר - 20 ימים לעומר - יסוד שבתפארת,5utDhmqXuN4,https://www.youtube.com/watch?v=5utDhmqXuN4,2024-05-15,שיעורים כלליים
הרב אסף פלג הקדמה לספר הזוהר שיעור 37,b9K-xBqqMlA,https://www.youtube.com/watch?v=b9K-xBqqMlA,2024-05-16,שיעורים כלליים
ספירת העומר - 22 ימים לעומר - חסד שבנצח,OnGN0t0SRqY,https://www.youtube.com/watch?v=OnGN0t0SRqY,2024-05-16,שיעורים כלליים
ספירת העומר - 21 ימים לעומר - מלכות שבתפארת,_gHQPXIA9mg,https://www.youtube.com/watch?v=_gHQPXIA9mg,2024-05-16,שיעורים כלליים
משמר זוהר ליל שישי - פרשת אמר,s22G6PjwIzQ,https://www.youtube.com/watch?v=s22G6PjwIzQ,2024-05-17,שיעורים כלליים
דרש פרשת אמר,d7l5y5uw5ac,https://www.youtube.com/watch?v=d7l5y5uw5ac,2024-05-19,שיעורים כלליים
ספירת העומר - 26 ימים לעומר - הוד שבנצח,xZaQylOlVX8,https://www.youtube.com/watch?v=xZaQylOlVX8,2024-05-20,שיעורים כלליים
ספירת העומר - 25 ימים לעומר - נצח שבנצח,-tkS4cp3mQ4,https://www.youtube.com/watch?v=-tkS4cp3mQ4,2024-05-20,שיעורים כלליים
ספירת העומר - 23 ימים לעומר - גבורה שבנצח,Ko4y_iKOB8M,https://www.youtube.com/watch?v=Ko4y_iKOB8M,2024-05-20,שיעורים כלליים
ספירת העומר - 29 ימים לעומר - חסד שבהוד,wztqH6Z3RUc,https://www.youtube.com/watch?v=wztqH6Z3RUc,2024-05-23,שיעורים כלליים
ספירת העומר - 28 ימים לעומר - מלכות שבנצח,d4wfHERbhQM,https://www.youtube.com/watch?v=d4wfHERbhQM,2024-05-23,שיעורים כלליים
ספירת העומר - 27 ימים לעומר - יסוד שבנצח,i5UomKTftVE,https://www.youtube.com/watch?v=i5UomKTftVE,2024-05-23,שיעורים כלליים
המאור עיניים - פרשת אמור שיעור מס' 01,CoJ3l_qlrV4,https://www.youtube.com/watch?v=CoJ3l_qlrV4,2024-05-23,שיעורים כלליים
המאור עיניים - פרשת אמור שיעור מס' 03,ALIMResFygU,https://www.youtube.com/watch?v=ALIMResFygU,2024-05-23,שיעורים כלליים
המאור עיניים - פרשת אמור שיעור מס' 02,2tt3x8ptjjc,https://www.youtube.com/watch?v=2tt3x8ptjjc,2024-05-23,שיעורים כלליים
הרב אסף פלג הקדמה לספר הזוהר שיעור 38,_nkWmgWgMes,https://www.youtube.com/watch?v=_nkWmgWgMes,2024-05-23,שיעורים כלליים
ליל משמר לג בעומר,fwR9QK-yQh0,https://www.youtube.com/watch?v=fwR9QK-yQh0,2024-05-26,שיעורים כלליים
דרש פרשת בהר,ajtKgCTnoDY,https://www.youtube.com/watch?v=ajtKgCTnoDY,2024-05-26,שיעורים כלליים
ספירת העומר - 30 ימים לעומר - גבורה שבהוד,lVXmnltv1kA,https://www.youtube.com/watch?v=lVXmnltv1kA,2024-05-26,שיעורים כלליים
ספירת העומר - 31 ימים לעומר - תפארת שבהוד,k3uh99oyWMc,https://www.youtube.com/watch?v=k3uh99oyWMc,2024-05-26,שיעורים כלליים
המאור עיניים - פרשת אמור שיעור מס' 04,SOP569TKlyE,https://www.youtube.com/watch?v=SOP569TKlyE,2024-05-26,שיעורים כלליים
